cell_width_mean,cell_width_std,number_of_crossings,stop_cell
1.886876883226873,0.0,433,0
0.997011241599252,0.0,522,0
1.2422344310911881,0.0,212,0
0.440695916306417,0.0,626,0
1.44827525212398,0.0,356,0
0.7885261120607571,0.0,483,13
1.2428953594480974,0.0,309,93
0.7467322313092585,0.0,392,0
0.9640435614574533,0.0,344,0
0.8377286106681691,0.0,478,0
1.1793552271475958,0.0,487,0
1.1610466652630405,0.0,388,0
0.8760683488890529,0.0,466,0
1.0553122612076766,0.0,412,0
0.9556267894057787,0.0,329,0
0.7681008298904183,0.0,307,0
0.7440189880067432,0.0,401,0
0.9904705935455136,0.0,535,0
1.286206531389284,0.0,429,0
1.0591590013629892,0.0,384,0
0.8637307880309821,0.0,352,0
0.9034693577540304,0.0,360,88
0.8360086211011196,0.0,439,18
1.0567452770931227,0.0,476,0
1.103720910225511,0.0,383,0
0.9317018077960809,0.0,380,0
0.9200473911944937,0.0,472,0
1.1124583505169803,0.0,360,0
0.861418130541274,0.0,487,0
1.1087228380281426,0.0,374,0
0.8540617120393416,0.0,533,0
1.2922485676959785,0.0,295,0
0.7356740651265621,0.0,354,0
0.8653262941685284,0.0,471,0
1.2098806830120892,0.0,430,0
1.007016979995181,0.0,353,0
0.8226868811844851,0.0,275,5
0.618842474328065,0.0,439,101
0.9986083462522898,0.0,463,0
1.0814908006121926,0.0,412,0
1.0063418516807796,0.0,321,0
0.777368191774847,0.0,514,0
1.2359142919828772,0.0,403,0
1.027973352225956,0.0,311,0
0.7396739411634826,0.0,473,0
1.195033301924478,0.0,449,0
0.9921139261472425,0.0,340,0
0.8265367230498669,0.0,377,0
0.8199353256298751,0.0,519,0
1.241710535436673,0.0,254,0
0.5649642319682757,0.0,540,0
1.3706335174903381,0.0,238,0
0.5879661538933484,0.0,434,96
1.007962310435739,0.0,528,10
1.270597266259359,0.0,262,0
0.6349607140239153,0.0,544,0
1.3096977635471434,0.0,368,0
0.8580502769283164,0.0,362,0
0.878414600725323,0.0,412,0
0.9678966818908707,0.0,367,0
0.9315902604904877,0.0,465,0
1.0483578469093375,0.0,339,0
0.8363401698954798,0.0,417,0
0.9443453139663188,0.0,430,0
0.988995906820352,0.0,390,0
0.9006498923750003,0.0,364,0
0.8740084099471056,0.0,472,0
1.183735296818367,0.0,379,2
0.9618696027146225,0.0,381,104
0.9814990662604479,0.0,342,0
0.7712395042247079,0.0,376,0
0.892442657670728,0.0,464,0
1.0068782080666294,0.0,385,0
0.9346120979357143,0.0,525,0
1.127831397464993,0.0,372,0
0.9679147186266975,0.0,378,0
0.8879324962349785,0.0,414,0
1.040703741958674,0.0,411,0
0.9854536250457532,0.0,438,0
1.1126820088560736,0.0,388,0
0.9186440426404869,0.0,423,0
0.9800697231195126,0.0,405,0
0.9386871744694355,0.0,466,0
1.0461365637718987,0.0,322,46
0.8037864254459136,0.0,341,60
0.7983756639756131,0.0,501,0
1.2410069314931544,0.0,329,0
0.7644430209255897,0.0,500,0
1.2310075024713767,0.0,409,0
0.9167663732732145,0.0,384,0
1.0013990032830775,0.0,352,0
0.7921911597560972,0.0,353,0
0.8528258948329468,0.0,540,0
1.2852347204341144,0.0,457,0
1.1175551716078178,0.0,388,0
0.9083195899786856,0.0,271,0
0.6470829171974771,0.0,510,0
1.2122384442803626,0.0,441,0
0.995287913434362,0.0,398,0
0.951026197569275,0.0,347,96
0.829618520049929,0.0,461,10
1.1633530831209489,0.0,233,0
0.5550862011386823,0.0,516,0
1.3104624071016975,0.0,483,0
1.1237066892966823,0.0,365,0
0.8642842525196665,0.0,516,0
1.1610945224803182,0.0,338,0
0.8046182068195697,0.0,394,0
0.853970118573417,0.0,387,0
0.9302009218691953,0.0,384,0
0.9428028150814141,0.0,443,0
1.0847120199834968,0.0,358,0
0.9267522790644119,0.0,377,0
0.8765311946065365,0.0,402,0
1.0021847203217469,0.0,567,17
1.31183784087206,0.0,272,89
0.6759848676454746,0.0,483,0
1.0557455799242157,0.0,377,0
0.9248070139969681,0.0,405,0
0.9377563629365399,0.0,343,0
0.8392529845153542,0.0,469,0
1.1234185033918902,0.0,412,0
0.969092174833026,0.0,297,0
0.726871124065367,0.0,470,0
1.0972177885296621,0.0,409,0
1.0020512043941912,0.0,389,0
0.8979251694603252,0.0,368,0
0.9172757928961752,0.0,396,0
0.9093112923463879,0.0,446,0
1.1632842848932698,0.0,375,0
0.8331830107102087,0.0,293,106
0.7116943822615637,0.0,427,0
1.0078812493328213,0.0,462,0
1.0514959663270687,0.0,413,0
0.9625127135798446,0.0,333,0
0.7810230263997063,0.0,309,0
0.8070305753882948,0.0,561,0
1.3228131329163273,0.0,305,0
0.8181033226771675,0.0,518,0
1.2022839105482652,0.0,306,0
0.7417084191835267,0.0,393,0
0.855226748875674,0.0,443,0
1.038654026390536,0.0,470,0
1.0351291497388992,0.0,253,0
0.6315149135143662,0.0,371,0
0.9530054562223195,0.0,519,9
1.2682226034523802,0.0,477,97
1.166888489312681,0.0,409,0
1.0109775469446347,0.0,311,0
0.8017450720315654,0.0,343,0
0.7238440102082957,0.0,360,0
