cell_width_mean,cell_width_std,number_of_crossings,slope_mean,stop_cell,cell_width_truth
1.8272275924682617,0.0015315173659473658,1067,516.3359375,417,1.8404176650290762
1.0305100679397583,0.00206891936250031,602,291.20037841796875,0,1.0318809321331912
1.3071743249893188,0.0018174512078985572,800,369.3798522949219,0,1.3120870397370097
0.4987979829311371,0.0027539567090570927,324,140.9497833251953,0,0.49092883182677755
1.5450935363769531,0.0016429598908871412,878,436.6108093261719,0,1.5500696577518007
0.839374840259552,0.002032181015238166,586,237.18960571289062,0,0.8380349637667573
1.2684627771377563,0.0019010138930752873,712,358.4407958984375,0,1.2697435269613806
0.7588495016098022,0.002273536752909422,497,214.43484497070312,0,0.7541918549709482
0.963354229927063,0.0020124276634305716,577,272.22357177734375,0,0.9621915605971731
0.8425359725952148,0.0024846228770911694,425,238.08287048339844,0,0.8372077930467775
1.1826682090759277,0.0017126848688349128,799,334.1970520019531,0,1.1892645834619386
1.1943366527557373,0.0020085752476006746,607,337.49432373046875,0,1.1955360631368508
0.9363213777542114,0.002030323026701808,595,264.58465576171875,0,0.9367670859277686
1.134973406791687,0.0017737465677782893,727,320.7195129394531,0,1.136985010181931
1.0262317657470703,0.0018881956348195672,635,289.9914245605469,0,1.0198981604467536
0.8085143566131592,0.0025060442276299,436,228.46908569335938,0,0.8091023436526088
0.7537901997566223,0.002555325161665678,405,213.0052032470703,0,0.7553143161028515
0.9986013174057007,0.002105936873704195,598,282.18365478515625,0,1.0014072000004062
1.3059141635894775,0.0018217678880319,801,369.0237731933594,0,1.3116410350058623
1.0751928091049194,0.0019034596625715494,667,303.8267822265625,0,1.0762504172284482
0.9104545712471008,0.002199014415964484,532,257.2752380371094,0,0.9053338834353529
0.9138396978378296,0.0020797692704945803,600,258.2318115234375,0,0.9174686209240925
0.8749724626541138,0.0022260965779423714,515,247.24874877929688,0,0.8670178219873137
1.1074442863464355,0.0019519503694027662,682,312.94036865234375,0,1.1073310590595236
1.1337511539459229,0.002174205845221877,601,320.3741455078125,0,1.136474405086197
0.938428521156311,0.0020588317420333624,600,265.1800842285156,0,0.9423062096244509
0.9566574692726135,0.0020581125281751156,601,270.3312072753906,0,0.957241289485802
1.161206603050232,0.001997018698602915,659,328.1324768066406,0,1.1608368473780255
0.920349657535553,0.0020117952954024076,542,260.0713806152344,0,0.9175940076095994
1.180019736289978,0.0017947715241461992,797,333.44866943359375,0,1.1866146574363898
0.9272273182868958,0.0021494661923497915,508,262.0148620605469,0,0.9194849985401236
1.3100249767303467,0.0017421940574422479,754,370.1853942871094,0,1.309932581821397
0.7482522130012512,0.0020786100067198277,529,211.44027709960938,0,0.7415093850551674
0.8634471297264099,0.0025326316244900227,412,243.99192810058594,0,0.8611155894147785
1.1801745891571045,0.0018100566230714321,799,333.492431640625,0,1.1851710419089554
1.037345290184021,0.0020681314636021852,600,293.1318664550781,0,1.0395458488235623
0.8696348667144775,0.002223208313807845,524,245.74044799804688,0,0.8701012379132322
0.6905744671821594,0.002301387023180723,425,195.1417694091797,0,0.6791989365290315
1.0846772193908691,0.0019047047244384885,650,306.50689697265625,0,1.0831793426802199
1.161815881729126,0.002164834178984165,603,328.30462646484375,0,1.162902628778413
1.0402040481567383,0.0019494463922455907,641,293.939697265625,0,1.0355036776712003
0.7928500175476074,0.002026961650699377,525,224.0426788330078,417,0.7938700663575015
1.2364624738693237,0.0019638892263174057,700,349.398193359375,0,1.2365936472528458
1.0249522924423218,0.001983384136110544,641,289.6298828125,0,1.021210549034318
0.7505297064781189,0.002430796157568693,460,212.08384704589844,0,0.7478542850706427
1.2214245796203613,0.0018435204401612282,683,345.1488037109375,0,1.2218537987516283
1.0497568845748901,0.001876425463706255,688,296.6391296386719,0,1.0490398378293233
0.8907898664474487,0.002338653663173318,432,251.71841430664062,0,0.8861755845363881
0.8927966952323914,0.0021152945701032877,595,252.28549194335938,0,0.8909051178706121
1.3059533834457397,0.0017425455152988434,800,369.03485107421875,0,1.3098509374491802
0.5854702591896057,0.002462132601067424,383,165.4415283203125,0,0.584916075087254
1.370690941810608,0.001782706007361412,818,387.3283386230469,0,1.376490504319083
0.6090115308761597,0.0024116800632327795,342,172.0937957763672,0,0.6023368387188032
1.0387158393859863,0.0019769330974668264,645,293.5191650390625,0,1.03363217412003
1.3057384490966797,0.0018374556675553322,771,368.97412109375,0,1.3069893320001897
0.6753121614456177,0.002272355370223522,406,190.82896423339844,0,0.6639593291187543
1.3311798572540283,0.0016753693344071507,793,376.163330078125,0,1.3349268442842068
0.8994779586791992,0.0025102091021835804,445,254.17347717285156,0,0.8972762394362884
0.9064269065856934,0.0019807966891676188,598,256.1371154785156,0,0.9068514556532409
0.9883348345756531,0.0020835192408412695,600,279.2825622558594,0,0.9929198205502054
0.9483723044395447,0.002001068787649274,601,267.989990234375,0,0.9484529581526114
1.0871918201446533,0.002140066586434841,600,307.21746826171875,0,1.0910286445440505
0.880351185798645,0.002027805894613266,595,248.76866149902344,0,0.8826920515921739
0.9998657703399658,0.0020428483840078115,602,282.54095458984375,0,1.0015074378354931
1.0649712085723877,0.0020379044581204653,600,300.9383850097656,0,1.0656073283795566
0.947270929813385,0.0020776730962097645,600,267.67877197265625,0,0.9494014631367033
0.8931139707565308,0.002200355054810643,501,252.37515258789062,0,0.8919997484026428
1.182456135749817,0.0018535309936851263,702,334.13714599609375,0,1.1860219312129807
0.943121612071991,0.002094469266012311,600,266.5062561035156,0,0.9471586266780264
0.9838457703590393,0.001989129465073347,601,278.0140380859375,0,0.9856581197886085
