bin_center,pulse_mean,pulse_mode,pulse_std
50.05,6.5786071841135385,7.5,11.186385215532507
50.150000000000006,5.3749173608356475,7.5,10.361948094000681
50.25,5.733964185182967,7.5,10.52029260278443
50.349999999999994,5.664858774825761,7.5,10.401529427910711
50.45,4.986742618632181,7.5,10.292577228937517
50.55,5.219973358987641,7.5,10.555455885744237
50.650000000000006,4.728924785461888,2.5,10.286900705498867
50.75,5.504172174487773,7.5,10.446293997631232
50.849999999999994,5.015435584669828,7.5,10.671664121489833
50.95,5.870070354353578,7.5,10.318233442395352
51.05,5.7973608098336955,7.5,10.507251834607152
51.150000000000006,5.771712826028502,7.5,10.43196467024697
51.25,5.560377266878688,7.5,10.426173624482502
51.349999999999994,5.541303350160622,7.5,10.555293094956465
51.45,4.83573237371718,7.5,10.2596575114368
51.55,5.023282887077998,2.5,10.358142344650163
51.650000000000006,4.697613451455433,2.5,10.447037375153217
51.75,4.908789185522554,7.5,10.514929903682592
51.849999999999994,5.536474164133738,7.5,10.399448160133215
51.95,5.577114516301064,7.5,10.4836094543102
52.05,5.548106417225986,7.5,10.866898424975178
52.150000000000006,5.618888379167974,7.5,10.44709591463289
52.25,5.488328740476576,7.5,10.471312276490451
52.349999999999994,5.680700676090965,7.5,10.463119931931487
52.45,5.7778284671532845,7.5,10.430468693559039
52.55,4.36370826742153,2.5,10.258654800616739
52.650000000000006,4.898410269489076,7.5,10.38548395369479
52.75,5.815322171486555,7.5,10.563164822464543
52.849999999999994,5.141399707563472,2.5,10.443672910101665
52.95,6.341689128481581,7.5,10.525210509546987
53.05,5.911142672328936,7.5,10.420602693101758
53.150000000000006,5.740355585374036,7.5,10.989187945826837
53.25,6.149859154929577,7.5,10.46586474180639
53.349999999999994,5.871168363646133,7.5,10.867734458124378
53.45,5.293611936818792,7.5,10.273466077102162
53.55,4.600090375056484,2.5,10.245193410632757
53.650000000000006,4.585561497326204,2.5,10.53917252357367
53.75,5.72110846406257,7.5,10.3822351371019
53.849999999999994,6.345086873996204,7.5,10.313411130389573
53.95,5.793018539976825,7.5,10.514745751066593
54.05,5.725127987739264,7.5,10.41942129843897
54.150000000000006,5.9645843105874565,7.5,10.520151730561157
54.25,6.126611782024371,7.5,10.428695014784742
54.349999999999994,5.509859359141656,7.5,10.2570463940802
54.45,5.213869906352821,2.5,10.343368114716746
54.55,5.4268335436825135,2.5,11.074968771466466
54.650000000000006,4.599326462712002,7.5,10.493007299974055
54.75,5.758290970709273,7.5,10.369694400471628
54.849999999999994,4.941918312521766,7.5,10.375805387490715
54.95,6.068947551233068,7.5,10.395024750929027
55.05,6.059604295088488,7.5,10.493232501413688
55.150000000000006,6.0112388917929955,7.5,10.44877983387722
55.25,5.483399506049333,7.5,10.466028102151569
55.349999999999994,5.462641652659545,7.5,10.42041481501609
55.45,5.2802660605655465,2.5,10.377440272804888
55.55,5.422694959454149,7.5,10.264201785271613
55.650000000000006,4.343505408495296,2.5,10.43353218047822
55.75,5.295090258325553,2.5,10.440204422762017
55.849999999999994,5.762855288171744,7.5,10.373940464771367
55.95,6.169180665066849,7.5,10.528259099184407
56.05,7.331616875195052,7.5,10.718737635695902
56.150000000000006,7.610256868704928,7.5,10.882543737956961
56.25,9.301890266355715,7.5,10.826668444153688
56.349999999999994,7.4883446610121895,7.5,11.10103474851492
56.45,8.729207821580921,7.5,11.194567524024968
56.55,8.575502444323735,7.5,11.594471068098258
56.650000000000006,10.028100889045549,7.5,11.17885810233635
56.75,9.674859686471839,7.5,11.856081918983707
56.849999999999994,11.151115618661258,12.5,11.726430355022561
56.95,13.967592773246967,12.5,11.878487527127042
57.05,14.696917314894842,12.5,12.17077923168635
57.150000000000006,16.12549984620117,17.5,12.768541775059795
57.25,17.104717187158766,17.5,12.564546890913146
57.349999999999994,18.784965911369557,17.5,12.57254041000606
57.45,20.225038448780197,22.5,12.55083202673219
57.55,18.838866835077592,17.5,11.992407452681926
57.650000000000006,22.342389377044015,22.5,12.50514550207051
57.75,21.30019971345461,22.5,12.157329008431876
57.849999999999994,23.592321368100237,27.5,12.622933141881502
57.95,26.38423289758602,27.5,14.161210909109407
58.05,28.0963730414123,27.5,16.179881706645823
58.150000000000006,29.903586374953647,27.5,19.510935829502678
58.25,34.480347888552515,27.5,24.786454356675794
58.349999999999994,34.72142972929162,27.5,24.54547762366807
58.45,39.91412524821434,27.5,30.920976485056542
58.55,47.14385734048655,32.5,40.423819075350806
58.650000000000006,44.80347755762233,27.5,39.422213340352286
58.75,56.402626193724416,32.5,57.96104864190963
58.849999999999994,67.9818126775651,32.5,78.74461337446446
58.95,84.7709794927145,32.5,109.56216000949121
59.05,108.11881924921448,32.5,133.6876124934088
59.150000000000006,155.2792026763312,37.5,165.1349319137628
59.25,162.15606142165055,32.5,185.02043887473454
59.349999999999994,189.94186046511626,37.5,202.37277846278866
59.45,251.868246417665,42.5,227.969414232195
59.55,271.0925138934292,42.5,244.749563251737
59.650000000000006,283.51648912289284,42.5,254.4559092025943
59.75,338.80451477304877,52.5,305.14761170984946
59.849999999999994,427.4357592480814,87.5,344.40154176281777
59.95,475.9557568109272,62.5,407.82708348621026
60.05,545.9988619586613,67.5,425.7569637719062
60.150000000000006,673.3322526163404,82.5,478.98859591474
60.25,780.9136952429122,137.5,505.8693553362011
60.349999999999994,878.7695112071295,817.5,505.82587514566734
60.45,1007.7261827408025,1117.5,500.5854287755511
60.55,1107.5356350966106,1297.5,490.49769715067174
60.650000000000006,1147.5833693460097,1267.5,488.7141953503736
60.75,1121.77673104098,942.5,518.0198012522084
60.849999999999994,1357.100813683888,1467.5,526.7287330743897
60.95,1341.2040462427744,2052.5,513.1897829741315
